x,y
7.50E-05,-0.003038734
7.42E-05,-0.003082158
7.34E-05,-0.00313723
7.32E-05,-0.003147695
8.15E-05,0.000906889
7.82E-05,-0.003049968
8.05E-05,0.00087254
7.59E-05,-0.00318029
7.50E-05,-0.003236725
7.54E-05,-0.003211529
8.08E-05,0.000739616
7.82E-05,0.000644162
7.59E-05,0.001125779
7.50E-05,0.001093015
7.54E-05,0.001107661
8.20E-05,0.00064512
6.90E-05,0.001049407
7.19E-05,0.000975951
7.18E-05,0.000968551
8.25E-05,0.00052841
7.45E-05,-0.003436579
7.70E-05,-0.003361462
7.06E-05,0.000728521
6.89E-05,0.00063935
7.45E-05,0.000725641
7.70E-05,0.000666512
8.26E-05,0.00029914
8.03E-05,0.000203157
7.83E-05,-0.00342019
7.13E-05,0.000413451
7.99E-05,0.000186055
7.58E-05,-0.003557844
7.53E-05,-0.003586203
7.83E-05,0.00043011
8.11E-05,0.000127733
7.90E-05,-0.003430703
7.53E-05,0.000299696
7.58E-05,0.00032235
8.38E-05,0.000132765
7.09E-05,0.000226599
7.83E-05,-2.95E-06
7.90E-05,0.000324556
8.08E-05,1.03E-05
8.15E-05,3.85E-05
7.92E-05,-0.003462084
8.58E-05,0.000109719
8.47E-05,6.87E-05
7.90E-05,-6.94E-05
8.41E-05,4.63E-05
8.67E-05,5.85E-05
7.92E-05,0.000200746
8.21E-05,-3.16E-05
6.85E-05,-5.67E-05
7.92E-05,-0.000159336
8.47E-05,-0.003289146
8.66E-05,-2.57E-05
7.06E-05,-8.71E-05
8.62E-05,-3.81E-05
8.60E-05,-4.61E-05
8.50E-05,-8.31E-05
8.25E-05,-0.003373879
7.70E-05,-9.06E-06
7.69E-05,-1.43E-05
8.50E-05,-0.003283213
7.51E-05,-9.86E-05
8.25E-05,2.90E-05
8.65E-05,-9.50E-05
8.35E-05,-0.003335251
8.61E-05,-0.003238415
7.72E-05,-0.000100131
8.47E-05,-0.000159108
8.50E-05,3.77E-05
8.94E-05,-0.003117336
8.25E-05,-0.000235438
8.35E-05,-1.11E-05
8.71E-05,-0.003188491
7.35E-05,-0.000254152
7.71E-05,-0.000178336
8.50E-05,-0.000198086
8.35E-05,-0.000243701
8.61E-05,7.30E-06
8.94E-05,4.10E-05
8.91E-05,-0.003100187
8.61E-05,-0.000197993
8.71E-05,-1.71E-05
8.94E-05,-0.000134152
8.91E-05,-8.26E-06
8.00E-05,-0.000180698
9.86E-05,0.000204877
8.43E-05,-9.26E-05
8.71E-05,-0.000190998
8.91E-05,-0.000153735
9.27E-05,-0.001128498
9.44E-05,-0.001055779
8.99E-05,-0.00112502
8.62E-05,-0.001180093
